POINT_X,POINT_Y,AGB_T_HA_2018,AGB_T_HA_2010,AGB_T_HA_SD_2018,AGB_T_HA_SD_2010
-54.98759509,-3.12340388,2.597543359,123.0022802,9.163742421,57.1765006
-54.98759509,-3.12249988,1.015954515,115.7789639,5.721865554,55.502355
-54.98759509,-3.12159588,1.146952275,119.9255663,6.051493141,56.58545411
-54.98759509,-3.12069188,0.936731959,165.0124929,5.501202465,66.68548751
-54.98759509,-3.11978788,1.523027877,182.2566276,7.538267256,69.68706176
-54.98759509,-3.11888388,11.12340692,161.1149024,18.59030302,65.53732174
-54.98759509,-3.11797988,6.087148022,140.681246,15.46078339,61.36164156
-54.98759509,-3.11707588,0.369878528,161.7574839,5.281789592,65.6751298
-54.98759509,-3.11617188,0.72680838,132.8660209,10.23439033,59.44433847
-54.98759509,-3.11526788,1.946532349,170.8336102,25.75136701,67.45737996
-54.98759509,-3.11436388,1.970705518,133.887898,16.3908786,59.90721025
-54.98759509,-3.11345988,1.388449722,110.8644874,10.93799641,55.76473806
-54.98759509,-3.11255588,0.218159007,29.24206109,2.767620018,29.43887061
-54.98759509,-3.11165188,0.179429119,68.49893033,2.507093395,42.86439863
-54.98759509,-3.11074788,0.18485492,54.13864417,2.627784859,38.53169556
-54.98759509,-3.10984388,0.368934141,21.56122863,3.640957122,25.16151727
-54.98759509,-3.10893988,0.221861982,39.50647514,2.769432275,32.81099882
-54.98759509,-3.10803588,0.289467759,32.86113092,3.194429867,30.23521612
-54.98759509,-3.10713188,1.106531673,13.54286085,6.67946812,19.73210028
-54.98759509,-3.10622788,11.13270481,6.254373687,18.07819563,13.57696337
-54.98759509,-3.10532388,29.68718113,8.068631997,28.36668762,15.31258551
-54.98669609,-3.13063588,5.031662823,13.6228684,12.23644706,20.87426384
-54.98669609,-3.12973188,5.193411884,1.481477646,12.45900569,7.409886335
-54.98669609,-3.12882788,8.632006411,1.156415576,16.0521345,6.105307216
-54.98669609,-3.12792388,13.19510094,1.626175189,23.05710473,7.976097196
-54.98669609,-3.12701988,3.911899838,2.753175844,11.33767588,9.389755703
-54.98669609,-3.12611588,2.468579116,9.915777825,9.088751036,17.01341529
-54.98669609,-3.12521188,5.343683034,9.563156822,12.62309699,16.77366638
-54.98669609,-3.12430788,8.747873124,24.13553165,16.05203102,26.3077266
-54.98669609,-3.12340388,19.03028711,75.44960598,24.54786574,45.12395011
-54.98669609,-3.12249988,16.70747828,79.40055581,24.29591122,46.21201839
-54.98669609,-3.12159588,38.22639508,107.2410207,38.11940841,53.47379036
-54.98669609,-3.12069188,31.93059358,151.0337271,34.7822269,63.3677113
-54.98669609,-3.11978788,29.86574226,135.5542439,32.32251339,60.09851412
-54.98669609,-3.11888388,33.87442644,160.1891625,32.02729752,65.26987522
-54.98669609,-3.11797988,3.703797875,183.998282,11.47958639,70.078844
-54.98669609,-3.11707588,0.16078271,152.669634,2.374627357,63.71847918
-54.98669609,-3.11617188,0.154497145,124.5610356,2.330213512,57.53349063
-54.98669609,-3.11526788,0.164223755,111.1021734,2.399725208,54.46705835
-54.98669609,-3.11436388,0.165649783,130.2941024,2.438716888,58.92845554
-54.98669609,-3.11345988,0.176016313,80.61869765,2.511736443,51.41895125
-54.98669609,-3.11255588,0.177558176,4.314680857,2.490050653,15.80463078
-54.98669609,-3.11165188,0.175450206,81.23950454,2.477947293,46.69847023
-54.98669609,-3.11074788,0.36198348,47.25963893,4.2109028,36.03825634
-54.98669609,-3.10984388,5.864699855,108.8216264,13.7073984,54.41769025
-54.98669609,-3.10893988,10.40273219,110.4704601,18.79399373,55.09209049
-54.98669609,-3.10803588,1.969045902,29.91053614,8.044874826,28.76151652
-54.98669609,-3.10713188,0.558705723,50.08643147,4.743823137,37.00111479
-54.98669609,-3.10622788,5.746783776,33.30543755,13.04572007,30.36875132
-54.98669609,-3.10532388,5.802531633,33.36369199,13.16564456,30.3090148
-54.98579709,-3.13063588,1.67172927,1.990128248,8.142304809,9.637014026
-54.98579709,-3.12973188,11.38330474,1.894936138,18.34389795,7.717717335
-54.98579709,-3.12882788,6.406673707,1.739289277,13.76270072,7.47187521
-54.98579709,-3.12792388,7.413063876,0.665254487,14.895268,4.913606239
-54.98579709,-3.12701988,10.49916179,2.58895653,17.6693336,8.932919085
-54.98579709,-3.12611588,8.051882156,4.413052867,15.68416813,12.2148523
-54.98579709,-3.12521188,5.355658436,23.8762397,12.80190387,26.33889544
-54.98579709,-3.12430788,1.729316756,60.32926062,8.433283837,40.92734545
-54.98579709,-3.12340388,10.08767412,93.73885645,17.24009006,50.02153503
-54.98579709,-3.12249988,15.87375775,81.3358187,21.24843754,47.03541635
-54.98579709,-3.12159588,29.14162849,29.15936882,28.37597723,29.4419615
-54.98579709,-3.12069188,27.39879185,33.80560158,27.82283724,32.98348153
-54.98579709,-3.11978788,73.36298261,134.4268264,45.32482062,59.75806361
-54.98579709,-3.11888388,18.47851485,148.2266364,27.48819802,62.7615346
-54.98579709,-3.11797988,0.278593572,157.3870932,3.873315899,64.77861716
-54.98579709,-3.11707588,0.191317645,105.2771484,2.58041834,53.01737509
-54.98579709,-3.11617188,0.178262493,87.20807558,2.49467842,48.29089477
-54.98579709,-3.11526788,0.176688066,85.75345766,2.483800496,47.88512685
-54.98579709,-3.11436388,0.167873807,113.3079406,2.423938624,54.88900151
-54.98579709,-3.11345988,0.172729856,106.2097604,2.457026212,53.31780873
-54.98579709,-3.11255588,0.164872818,88.01150268,2.403238876,53.52056629
-54.98579709,-3.11165188,0.253845676,45.76715023,3.607944597,35.3552848
-54.98579709,-3.11074788,4.927636928,32.20364827,12.99133133,30.49686963
-54.98579709,-3.10984388,21.90924825,141.342165,25.47092018,61.40433871
-54.98579709,-3.10893988,91.76138117,225.4751113,50.41867172,77.88284743
-54.98579709,-3.10803588,75.14580561,188.4961953,50.00007833,71.66738829
-54.98579709,-3.10713188,3.474625785,174.7556712,10.38599853,68.95011782
